Fecha;Carrera;Region
25-02-2018;liga desafio;VI
03-03-2018;Vuelta a pichidegua;VI
04-03-2018;Vuelta a pichidegua;VI
04-03-2018;xcm tour;VI
10-03-2018;rally scot;V
10-03-2018;mtb fest;VI
11-03-2018;mtb fest;VI
25-03-2018;xcm altamar;VII
11-03-2018;campeonato regional talca;VII
24-03-2018;ranking nactonal;VIII
01-04-2018;xcm campeonato xco metropolitano;RM
08-04-2018;liga desafio;VI
15-04-2018;campeonato regional talca;VII
21-04-2018;ranking nacional;VII
22-04-2018;mtbtour;VI
13-05-2018; campeonato regional talca;VII
13-05-2018;xcm tour;VI
20-05-2018;ranktng nacional;VI
21-05-2018;xco la ronciere;VII
27-05-2018;campeonato xco metropolitano;RM
03-06-2018;liga desafio;VI
17-06-2018;ranking nacional;IV
17-06-2018;campeonato xco metropolitano;RM
24-06-2018;mtbtour;RM
24-06-2018;xco tour;VI
09-07-2018;xcm los quillayes;VIII
06-07-2018;liga desafio;VI
22-07-2018;ranking nacional;V
29-07-2018;xco tour;VI
29-07-2018;campeonato xco metropolitano;RM
12-08-2018;mtbtour;RM
19-08-2018;campeonato regional talca;VII
26-08-2018;xcm el pequen;XIV
26-08-2018;xco tour;RM
26-08-2018;rank?ng nacional;RM
02-09-2018;campeonato xco metropolitano;RM
02-09-2018;liga desafio;RM
09-09-2018;xcm curepto;VII
23-09-2018;ranking nactonal;V
30-09-2018;campeonato regional talca;VII
30-09-2018;xcm tour;VI
07-10-2018;campeonato xco metropolitano;RM
07-10-2018;liga desafio;VI
21-10-2018;mtbtour;VI
21-10-2018;campeonato regional talca;VII
28-10-2018;xcm de los negros;VII
28-10-2018;xcm tour;VI
28-10-2018;ranking nacional;RM
04-11-2018;liga desafio;VI
11-11-2018;xcm virgen limavida;VII
18-11-2018;xcm tour;VI
18-11-2018;campeonato regional talca;VII
18-11-2018;mtbtour;RM
09-12-2018;liga desafio;VI
16-12-2018;campeonato regional talca;VII
